pronunciation,kana,kanji,meaning
tukamiau,つかみあう,つかみ合う,"to grapple"
akirehateru,あきれはてる,呆れ果てる,"to be flabbergasted, to be dumbfounded"
kaitataku,かいたたく,買い叩く,"to beat down prices, to strike a hard bargain"
urikiru,うりきる,売り切る,"to sell out, to sell off"
uritataku,うりたたく,売り叩く,"to beat down prices"
urihiromeru,うりひろめる,売り広める,"to expand a market, to find a new market"
uriosimu,うりおしむ,売り惜しむ,"to hold back on, to restrict sales of, to be reluctant to sell"
uturikawaru,うつりかわる,移り変わる,"to change"
tirinokoru,ちりのこる,散り残る,"to be left blooming, to remain on the stem"
tirisiku,ちりしく,散り敷く,"to lie scattered, to be strewn about"
iimarumeru,いいまるめる,言い丸める,"to do sweet-talk"
iitukaru,いいつかる,言いつかる,"to be ordered (to do)"
iihurusu,いいふるす,言い古す,"to say repeatedly, to say proverbially"
iihuseru,いいふせる,言い伏せる,"to argue down"
iiawaseru,いいあわせる,言い合わせる,"to agree in advance"
iitukusu,いいつくす,言い尽くす,"to tell all, to give a full account"
iinaosu,いいなおす,言い直す,"to correct oneself, to restate"
iisirenu,いいしれぬ,言い知れぬ,"indescribable, inexpressible"
iikaneru,いいかねる,言いかねる,"to find it hard to say"
iitoosu,いいとおす,言い通す,"to persist in saying"
iinasu,いいなす,言いなす,"to speak as though something were actually the case, to smooth over, to give the impression that, to make it sound that"
iikakeru,いいかける,言いかける,"to start to say, to attempt to say, to be about to say, to break off (mid-sentence)"
iimakuru,いいまくる,言いまくる,"to talk volubly"
iiotosu,いいおとす,言い落とす,"to omit to say, to forget to mention, to leave unsaid"
iisokonau,いいそこなう,言い損なう,"to say incorrectly, to use the wrong words, to make a slip of the tongue"
iioku,いいおく,言い置く,"to leave word, to leave a message"
iiyaru,いいやる,言いやる,"to send word"
iimorasu,いいもらす,言い漏らす,"to forget to mention, to leave unspoken, to let slip a secret"
iiayamaru,いいあやまる,言い誤る,"to say by mistake, to make a slip of the tongue"
iitukurou,いいつくろう,言い繕う,"to explain away (a mistake, failure, etc.), to make excuses for, to gloss over, to talk one's way out of"
iihayasu,いいはやす,言い囃す,"to spread (e.g. a rumour), to talk about (widely), to make fun of"
tonariawaseru,となりあわせる,隣り合わせる,"to adjoin"
kiwametukusu,きわめつくす,極め尽くす,"to do thoroughly, to check through and through"
sameyaranu,さめやらぬ,冷めやらぬ,"lingering (usu. feeling, emotion, etc.), continuing (to), still (...)"
narikiru,なりきる,成り切る,"to turn completely into, to become completely"
narikawaru,なりかわる,成り代わる,"to do in place of or on behalf of (someone)"
narikawaru,なりかわる,成り変わる,"to change, to change into, to become"
moritukeru,もりつける,盛り付ける,"to dish up, to arrange food (on a plate)"
moriawaseru,もりあわせる,盛り合わせる,"to heap with, to assort"
morikorosu,もりころす,盛り殺す,"to poison to death, to kill by a prescription error"
nosiaruku,のしあるく,伸し歩く,"to swagger"
hikinaosu,ひきなおす,引き直す,"to redraw (a line)"
hikitaosu,ひきたおす,引き倒す,"to pull down"
arainaosu,あらいなおす,洗い直す,"to wash again"
siniwakareru,しにわかれる,死に別れる,"to be separated by death"
siniokureru,しにおくれる,死に後れる,"to outlive"
sinitaeru,しにたえる,死に絶える,"to die out, to become extinct"
sinisokonau,しにそこなう,死に損なう,"to fail to die (e.g. after suicide attempt or accident), to survive, to outlive"
huruiotosu,ふるいおとす,ふるい落とす,"to sift out, to screen or eliminate (candidates)"
matiakasu,まちあかす,待ち明かす,"to wait all night"
matikurasu,まちくらす,待ち暮らす,"to wait all day"
tukarekiru,つかれきる,疲れきる,"to be exhausted, to be tired out"
makaritooru,まかりとおる,まかり通る,"to go unpunished, to be tolerated, to be allowed, to be overlooked"
makarikosu,まかりこす,まかり越す,"to go to, to visit, to call on"
turikomareru,つりこまれる,釣り込まれる,"to be carried away by, to be talked into"
otiyuku,おちゆく,落ちゆく,"to flee, to take flight"
utitateru,うちたてる,打ち立てる,"to establish, to formulate"
utiharau,うちはらう,打ち払う,"to brush away, to sweep aside"
utiateru,うちあてる,打ち当てる,"to hit against"
utimakasu,うちまかす,打ち負かす,"to defeat"
utitaosu,うちたおす,打ち倒す,"to knock down, to defeat"
utitureru,うちつれる,打ち連れる,"to go along with"
utikakaru,うちかかる,打ち掛かる,"to strike (at)"
utisuteru,うちすてる,打ち捨てる,"to throw away, to abandon"
utisioreru,うちしおれる,打ち萎れる,"to droop, to be depressed"
utiyoseru,うちよせる,打ち寄せる,"to break onto (shore), to wash ashore, to attack"
utiwaru,うちわる,打ち割る,"to split (by striking)"
utisokonau,うちそこなう,打ちそこなう,"to fail to hit, to miss"
semetukeru,せめつける,責め付ける,"to heap blame upon"
tuminaosu,つみなおす,積み直す,"to reload"
tuminokosu,つみのこす,積み残す,"to leave behind (cargo, passengers, etc.)"
tumikaeru,つみかえる,積み替える,"to transship"
yosekakeru,よせかける,寄せ掛ける,"to rest or lean against"
tukitoosu,つきとおす,突き通す,"to pierce, to penetrate"
ikuhisasiku,いくひさしく,幾久しく,"forever"
nerinaosu,ねりなおす,練り直す,"to knead again"
nerikatameru,ねりかためる,練り固める,"to harden by kneading"
moturekomu,もつれこむ,もつれ込む,"to proceed though deadlocked, to be carried over (e.g. to next meeting), to go into a shootout (e.g. sport)"
tanomiiru,たのみいる,頼み入る,"to entreat, to request earnestly"
orekomu,おれこむ,折れ込む,"to be folded under or inside"
oriyoku,おりよく,折よく,"fortunately, luckily"
oriwaruku,おりわるく,折り悪く,"unfortunately"
oriasiku,おりあしく,折悪しく,"unfortunately, at a bad time, at an unfortunate moment"
oomukou,おおむこう,大向こう,"gallery (of a theatre)"
uekomu,うえこむ,植え込む,"to plant, to insert"
okiwasureru,おきわすれる,置き忘れる,"to leave behind, to misplace, to forget"
sasitateru,さしたてる,差し立てる,"to stand, to send (off)"
sasikawasu,さしかわす,差し交わす,"to cross"
sasimukeru,さしむける,差し向ける,"to send or direct a person to"
sasimawasu,さしまわす,差し回す,"to send around (e.g. a car)"
sasimaneku,さしまねく,差し招く,"to beckon (to)"
sasikatameru,さしかためる,差し固める,"to close or shut tight, to warn sharply"
sasisemaru,さしせまる,差し迫る,"to be urgent, to be pressing, to be imminent"
sasihasamu,さしはさむ,差し挟む,"to insert"
sasiyurusu,さしゆるす,差し許す,"to allow, to forgive"
sasikoeru,さしこえる,差し越える,"to go out of turn, to butt in"
sasikosu,さしこす,差し越す,"to go out of turn, to send"
sasioku,さしおく,差し置く,"to leave as is, to let alone, to disregard"
sasikuru,さしくる,差し繰る,"to arrange, to manage"
maturikomu,まつりこむ,祭り込む,"to place an obnoxious person in an out-of-the-way post to be rid of him or her"
osisusumeru,おしすすめる,押し進める,"to press forward, to forge ahead, to push on"
osiwataru,おしわたる,押し渡る,"to cross over, to wade"
osiyaru,おしやる,押しやる,"to push away, to push aside, to shove"
kioitatu,きおいたつ,気負い立つ,"to rouse oneself, to psyche oneself up"
neiru,ねいる,寝入る,"to fall asleep"
newasureru,ねわすれる,寝忘れる,"to oversleep"
kokoroyuku,こころゆく,心ゆく,"to be completely satisfied, to be completely contented"
kokoroaru,こころある,心ある,"thoughtful, considerate, sensible"
kokorookinaku,こころおきなく,心置きなく,"freely, frankly, without reserve"
imikirau,いみきらう,忌み嫌う,"to detest, to abhor, to loathe"
yakusekikounaku,やくせきこうなく,薬石効無く,"no medical treatment having proved effective"
harikaeru,はりかえる,張り替える,"to re-cover, to reupholster, to repaper"
serikatu,せりかつ,競り勝つ,"to win after tough bidding"
seriotosu,せりおとす,競り落とす,"to knock down the price of"
sirinuku,しりぬく,知り抜く,"to know thoroughly"
tokiakasu,ときあかす,解き明かす,"to explain, to dispel doubts"
tatakainuku,たたかいぬく,戦い抜く,"to fight to the bitter end"
tokiwakeru,ときわける,説き分ける,"to explain carefully or by making distinctions"
tokitukeru,ときつける,説きつける,"to persuade"
tokiokosu,ときおこす,説き起こす,"to begin an explanation (argument, story, etc.)"
tokisusumeru,ときすすめる,説き勧める,"to persuade"
mekurumeku,めくるめく,目くるめく,"to dazzle, to blind"
hakarikomu,はかりこむ,量り込む,"to measure liberally"
kawamukou,かわむこう,川向こう,"the other side of a river"
hukikaeru,ふきかえる,葺き替える,"to reroof, to rethatch, to retile"
kokitukau,こきつかう,こき使う,"to work (someone) hard, to push (someone) around"
kokiotosu,こきおとす,こき落とす,"to thresh"
miminareru,みみなれる,耳慣れる,"to be something familiar"
ikimaku,いきまく,息巻く,"to rage, to storm (at), to be furious"
ikisekikiru,いきせききる,息せき切る,"to pant (while rushing), to gasp, to puff and blow"
iromekitatu,いろめきたつ,色めき立つ,"to become excited, to grow lively"
tukuritukeru,つくりつける,作り付ける,"to fix (e.g. to a wall), to secure, to install"
kuriireru,くりいれる,繰り入れる,"to transfer (esp. money in), to add (esp. money to an account)"
kurikomu,くりこむ,繰り込む,"to march in, to transfer, to send"
kuriawaseru,くりあわせる,繰り合わせる,"to arrange, to manage (to find time)"
kurimawasu,くりまわす,繰り回す,"to roll over (debt)"
kuriyoseru,くりよせる,繰り寄せる,"to draw towards"
kurikaeru,くりかえる,繰り替える,"to exchange"
kakeawasu,かけあわす,掛け合わす,"to multiply"
kakewatasu,かけわたす,掛け渡す,"to build (a bridge) over a river"
kakekaeru,かけかえる,掛け替える,"to replace, to substitute"
kikosimesu,きこしめす,聞こし召す,"to hear"
kikiwasureru,ききわすれる,聞き忘れる,"to forget to ask"
kikinaosu,ききなおす,聞き直す,"to listen again, to ask again"
kikinasu,ききなす,聞き做す,"to consider"
kikiotosu,ききおとす,聞き落とす,"to fail to hear, to miss"
kikisokonau,ききそこなう,聞き損なう,"to mishear, to fail to catch"
kikioku,ききおく,聞き置く,"to listen"
kikiakiru,ききあきる,聞き飽きる,"to be tired of hearing"
kikisumasu,ききすます,聞き澄ます,"to listen attentively"
kasikiru,かしきる,貸し切る,"to reserve (for exclusive use), to charter, to book"
kasitukeru,かしつける,貸し付ける,"to lend, to loan"
omoiiru,おもいいる,思い入る,"to ponder, to contemplate"
omoiau,おもいあう,思い合う,"to love one another"
omoiawaseru,おもいあわせる,思い合わせる,"to consider (all the circumstances), to bear (a number of things) in mind"
omoiitaru,おもいいたる,思い至る,"to realize, to realise, to hit upon something"
omoimawasu,おもいまわす,思い回す,"to ponder, to recall"
omoiyoru,おもいよる,思い寄る,"to recall, to hit upon..., to occur to (one)"
omoimoukeru,おもいもうける,思い設ける,"to anticipate, to expect"
omoiyaru,おもいやる,思いやる,"to be considerate, to sympathize with, to sympathise with"
yurikaesu,ゆりかえす,揺り返す,"to shake back"
niekurikaeru,にえくりかえる,煮えくり返る,"to boil, to seethe"
umareawaseru,うまれあわせる,生まれ合わせる,"to happen to be born (at a certain time)"
ikinuku,いきぬく,生き抜く,"to live through, to survive"
haekawaru,はえかわる,生え変わる,"to be replaced with new growth"
umareotiru,うまれおちる,生まれ落ちる,"to be born"
moesakaru,もえさかる,燃え盛る,"to blaze, to burn brightly"
orinasu,おりなす,織り成す,"to interweave"
kumotuku,くもつく,雲突く,"to tower"
huriateru,ふりあてる,振り当てる,"to assign, to allot"
hurikaesu,ふりかえす,振り返す,"to relapse, to reassert, to review"
hurihanasu,ふりはなす,振り放す,"to break free of"
huriokosu,ふりおこす,振り起こす,"to stir up, to stimulate"
huruituku,ふるいつく,震い付く,"to hug"
yasehosoru,やせほそる,やせ細る,"to lose weight, to become thin, to wither away"
kakikiru,かききる,掻き切る,"to cut, to slit"
kakiwakeru,かきわける,掻き分ける,"to push aside, to push one's way through"
kaikomu,かいこむ,掻い込む,"to carry under the arm, to rake in, to scoop up"
kakinarasu,かきならす,掻き均す,"to smooth out"
kakinokeru,かきのける,掻きのける,"to push aside, to shove aside, to rake away (leaves)"
kakikesu,かきけす,かき消す,"to erase, to drown out (e.g. noise, sound)"
kakikieru,かききえる,掻き消える,"to disappear"
kakiokosu,かきおこす,掻き起こす,"to stir up"
kakiyoseru,かきよせる,掻き寄せる,"to sweep together, to rake up, to gather up"
kakiotosu,かきおとす,掻き落とす,"to scrape off"
kakikureru,かきくれる,掻き暮れる,"to be sad"
kakikumoru,かきくもる,掻き曇る,"to become overcast"
tatakinaosu,たたきなおす,叩き直す,"to beat into shape"
tatakikorosu,たたきころす,叩き殺す,"to beat to death"
tatakikowasu,たたきこわす,叩き壊す,"to tear down, to shatter"
tatiiru,たちいる,立ち入る,"to enter, to trespass"
tatekiru,たてきる,立て切る,"to close tight"
tatekomeru,たてこめる,立て込める,"to be shut tight"
tatiau,たちあう,立ち合う,"to be matched against (in a sports contest)"
tatitukusu,たちつくす,立ち尽くす,"to stand stock still"
tatimayou,たちまよう,立ち迷う,"to drift along"
tatimasaru,たちまさる,立ち勝る,"to be superior, to surpass"
tatihataraku,たちはたらく,立ち働く,"to go about one's work"
kamawokakeru,かまをかける,鎌をかける,"to trick someone (into confirming or revealing the truth), to ask a leading question"
kuikiru,くいきる,食い切る,"to bite through"
kuiau,くいあう,食い合う,"to bite each other"
kuitukusu,くいつくす,食い尽くす,"to consume"
somekomu,そめこむ,染め込む,"to dye"
somenuku,そめぬく,染め抜く,"to dye fast, to leave undyed"
somekaesu,そめかえす,染め返す,"to dye again"
somenaosu,そめなおす,染め直す,"to dye again"
huriyamu,ふりやむ,降り止む,"to stop raining or snowing"
hurikomu,ふりこむ,降り込む,"to be blown in (e.g. rain), to sweep in"
huritunoru,ふりつのる,降り募る,"to rain harder"
hurisiku,ふりしく,降りしく,"to lie scattered, to be strewn with, to be covered with"
huritumoru,ふりつもる,降り積もる,"to fall and pile up (e.g. snow), to lie thick"
sekikomu,せきこむ,咳き込む,"to cough violently, to have a coughing fit"
toranoowohumu,とらのおをふむ,虎の尾を踏む,"to play with fire, to do something very dangerous, to take a great risk, to step on a tiger's tail"
utiharau,うちはらう,撃ち払う,"to drive someone off with gunfire"
omoimoyoranai,おもいもよらない,思いもよらない,"unexpected, unforeseen, inconceivable"
onorenikatu,おのれにかつ,己に克つ,"to control oneself"
onusi,おぬし,御主,"you (when referring to one's equals or inferiors)"
orihusi,おりふし,折り節,"occasionally, at times, the season, from time to time"
osamari,おさまり,収まり,"conclusion, end, settlement"
osiesatosu,おしえさとす,教え諭す,"to give guidance, to explain clearly, to admonish, to preach"
osite,おして,押して,"forcibly, by compulsion, importunately"
otoroe,おとろえ,衰え,"weakening, emaciation, decline"
sakekusai,さけくさい,酒臭い,"reeking of liquor, smelling of alcohol"
sakusi,さくし,昨紙,"yesterday's paper"
satosi,さとし,諭し,"guidance, admonition"
sawari,さわり,障り,"hindrance, obstacle, harm, bad effect, sickness"
sawari,さわり,触り,"feel, touch"
sitiniireru,しちにいれる,質に入れる,"to pawn, to pledge"
sikonomitate,しこのみたて,醜の御楯,"the humble shield of our Sovereign Lord"
sime,しめ,締め,"tie up, bind, fastening, tightening"
simesi,しめし,示し,"lesson, discipline, example (e.g. set a bad example)"
simete,しめて,締めて,"in all, all told"
kokorokara,こころから,心から,"from the bottom of one's heart, heartily, sincerely"
sinohai,しのはい,死の灰,"lethal radioactive fallout, atomic dust"
siremono,しれもの,痴れ者,"fool, dunce, idiot"
sirimenikakeru,しりめにかける,尻目にかける,"to look askance (at), to look contemptuously, to look down on"
siroimono,しろいもの,白い物,"something white, snow, gray hair, grey hair"
sisitenotiyamu,ししてのちやむ,死して後已む,"to be determined to do or die, to never give up until one is dead"
sitasiku,したしく,親しく,"closely, intimately"
sitawasii,したわしい,慕わしい,"dear, beloved"
souka,そうか,挿花,"flower arrangement"
sokusa,そくさ,側鎖,"chemical side chain"
some,そめ,染め,"dyeing, printing"
somou,そもう,梳毛,"combed wool (yarn)"
sounikai,そうにかい,総二階,"full two-story house"
sousou,そうそう,層相,"facies"
soutosuru,そうとする,壮とする,"to admire a person's courage, to approve of someone's ambition"
suika,すいか,水禍,"flood disaster, drowning"
suisi,すいし,垂死,"on the verge of dying"
suminiokenai,すみにおけない,隅に置けない,"witty and knowing, not to be underestimated, smooth operator"
sutari,すたり,廃り,"waste, wastage, waster"
taihuunome,たいふうのめ,台風の目,"eye of a typhoon"
taiou,たいおう,滞欧,"staying in Europe"
taisei,たいせい,体勢,"posture, stance"
taitou,たいとう,頽唐,"decadence, decline"
takuwae,たくわえ,蓄え,"store, reserve, stock, savings"
tanominotuna,たのみのつな,頼みの綱,"last ray of hope"
tatamaru,たたまる,畳まる,"to be folded (up)"
tatosuru,たとする,多とする,"to appreciate, to be thankful"
teisuu,ていすう,底数,"base, radix"
tenomono,てのもの,手の者,"one's subordinate"
teri,てり,照り,"sunshine, dry weather, luster, lustre"
tohounikureru,とほうにくれる,途方に暮れる,"to be at a loss, to be puzzled"
tokonituku,とこにつく,床に就く,"to go to bed, to be sick in bed, to be laid up"
tomasu,とます,富ます,"to enrich, to make wealthy"
tosuru,とする,賭する,"to stake, to risk, to bet, to wager"
tuisi,ついし,追試,"supplementary examination"
tuite,ついて,就いて,"about, concerning, as to, regarding"
tumisuru,つみする,罪する,"to charge, to sentence, to punish"
umi,うみ,生み,"production, bringing into the world, (physical) birth"
uri,うり,売り,"sale, selling"
usa,うさ,憂さ,"gloom, melancholy"
uturi,うつり,写り,"projection, reflection, image, reception (e.g. TV), picture quality"
uturi,うつり,移り,"change, transition, return present"
wananikakaru,わなにかかる,罠にかかる,"to be caught in a trap (snare, etc.)"
watakusisuru,わたくしする,私する,"to use (public property) as if it belonged to oneself, to misappropriate, to appropriate, to embezzle"
watasi,わたし,渡し,"ferry (crossing), ferry(boat)"
yamainiokasareru,やまいにおかされる,病に冒される,"to be attacked by a disease"
yatoi,やとい,雇い,"employee, employment"
yohai,よはい,余輩,"we, us"
youkouhi,ようこうひ,揚抗比,"lift-drag ratio"
yosooi,よそおい,装い,"dress, outfit, equipment, makeup, adornment, guise, get-up"
yotairitu,よたいりつ,預貸率,"loan-deposit ratio"
yurameku,ゆらめく,揺らめく,"to flicker, to quiver, to waver, to sway"
yuusui,ゆうすい,湧水,"spring, welling of water"
iewotateru,いえをたてる,家を建てる,"to build a house"
toritomenonai,とりとめのない,取り留めのない,"incoherent, wandering, vague, rambling, whimsical"
toutou,とうとう,等々,"etc., et cetera, and so on"
mitiwokiku,みちをきく,道を訊く,"to ask the way"
miwomamoru,みをまもる,身を守る,"to defend oneself, to protect oneself"
monowakarinoyoi,ものわかりのよい,物わかりの良い,"sensible, understanding"
yawarakanahikari,やわらかなひかり,柔らかな光,"soft light"
yuuhitu,ゆうひつ,右筆,"private secretary, amanuensis"
aioinomatu,あいおいのまつ,相生の松,"double pine, twin pines"
aisowotukasu,あいそをつかす,愛想を尽かす,"to be disgusted with, to run out of patience, to fall out of love"
mawoakeru,まをあける,間を開ける,"to leave space (between)"
aitewomakasu,あいてをまかす,相手を負かす,"to defeat one's opponent"
akanenone,あかねのね,茜の根,"madder root"
akitatuhi,あきたつひ,秋立つ日,"first day (beginning) of autumn, first day of fall"
akihukete,あきふけて,秋更けて,"late in autumn, late in fall"
akiwoumeru,あきをうめる,空きを埋める,"to fill a gap"
akunisomaru,あくにそまる,悪に染まる,"to steeped in vice"
akuwokorasu,あくをこらす,悪を懲らす,"to punish the wicked"
akei,あけい,阿兄,"elder brother, my dear brother"
akenisomaru,あけにそまる,朱に染まる,"to welter in blood, to be covered in blood"
akemutu,あけむつ,明け六つ,"the sixth hour of the morning"
asiire,あしいれ,足入れ,"tentative marriage"
asiwoarau,あしをあらう,足を洗う,"to quit (a shady business), to wash one's hands of, to cut one's ties with, to turn over a new leaf, to go straight"
asiwotinitukete,あしをちにつけて,足を地に付けて,"with steady steps, with one's feet planted on the ground"
asiwohayameru,あしをはやめる,足を速める,"to quicken one's pace (steps)"
asei,あせい,阿世,"timeserving"
atatakaiiro,あたたかいいろ,暖かい色,"warm color, warm colour"
atatakami,あたたかみ,暖かみ,"warmth"
atamaniireru,あたまにいれる,頭に入れる,"to keep in mind, to memorize"
atamanoyoi,あたまのよい,頭の良い,"bright, intelligent"
atamanosae,あたまのさえ,頭の冴え,"bright intelligence"
atamawokaru,あたまをかる,頭を刈る,"to have one's hair cut, to cut one's hair"
atarasiku,あたらしく,新しく,"newly, new, anew"
atarisawarinonai,あたりさわりのない,当たり障りのない,"harmless and inoffensive, bland, tepid"
atariwotukeru,あたりをつける,当たりをつける,"to guess, to estimate"
atariwotoru,あたりをとる,当たりを取る,"to make a hit, to have a great success (e.g. in business, with a play, etc.)"
atuinaka,あついなか,熱い仲,"mutual attraction, being in love"
atukaikata,あつかいかた,扱い方,"how to manage (e.g. case), how to handle (e.g. machine), way with (e.g. children, animal)"
atukainikui,あつかいにくい,扱いにくい,"hard to handle"
atemonaku,あてもなく,当てもなく,"at random, aimlessly"
atokatamonaku,あとかたもなく,跡形も無く,"without leaving any trace"
atowotatu,あとをたつ,跡を絶つ,"to wipe out, to put an end to"
atowotukeru,あとをつける,跡をつける,"to tag along, to follow, to tail, to shadow"
atowotomurau,あとをとむらう,後を弔う,"to perform religious rites for the repose of a soul"
anawoakeru,あなをあける,穴を開ける,"to cause a loss"
amaisiruwosuu,あまいしるをすう,甘い汁を吸う,"to be onto a good thing, to make money without working, to line one's pockets"
ayamatiwoaratameru,あやまちをあらためる,過ちを改める,"to correct a fault"
ayamari,あやまり,謝り,"excuse, apology"
ayamariniotiiru,あやまりにおちいる,誤りに陥る,"to fall into error"
ayamariwonaosu,あやまりをなおす,誤りを直す,"to correct an error"
ayamariwomitomeru,あやまりをみとめる,誤りを認める,"to admit to a mistake"
ayawonasite,あやをなして,綾をなして,"in beautiful patterns"
arasimawaru,あらしまわる,荒らし回る,"to break into (houses here and there), to rampage"
arukitukareru,あるきつかれる,歩き疲れる,"to be tired from walking"
are,あれ,荒れ,"stormy weather, tempest, chaps (of skin)"
areta,あれた,荒れた,"wild, neglected, rough (e.g. skin)"
aretiwohiraku,あれちをひらく,荒れ地を拓く,"to open up unbroken land"
awaikanasimi,あわいかなしみ,淡い悲しみ,"fleeting sorrow"
awasemotu,あわせもつ,併せ持つ,"to have two things (at the same time) (e.g. good and bad points), to also have something (in addition to something else)"
iikaketeyameru,いいかけてやめる,言いかけてやめる,"to stop in the middle of a sentence"
ienosoto,いえのそと,家の外,"outside the house"
ienomuki,いえのむき,家の向き,"aspect of a house"
iewookosu,いえをおこす,家を興す,"to raise the reputation of one's family, to found a house"
iewotatamu,いえをたたむ,家を畳む,"to shut up one's house"
iouyama,いおうやま,硫黄山,"sulfur mine, sulphur mine"
ikarikuruu,いかりくるう,怒り狂う,"to be in a fit (of anger), to rage"
ikioiwohuruu,いきおいをふるう,勢いを振るう,"to wield power, to exercise authority"
ikiwotumeru,いきをつめる,息を詰める,"to hold one's breath"
ikiwohaku,いきをはく,息を吐く,"to breathe out, to exhale"
ikuiku,いくいく,郁郁,"flourishing, teeming with culture, aromatic, emitting an aroma"
ikunitimo,いくにちも,幾日も,"for many days, for some days"
ikuyomo,いくよも,幾夜も,"for several nights"
itaimeniawasu,いたいめにあわす,痛い目に遭わす,"to make a person sweat for it"
itaimeniawaseru,いたいめにあわせる,痛い目に遭わせる,"to make (a person) pay for (something)"
itakire,いたきれ,板切れ,"scrap lumber, piece of wood"
itanituku,いたにつく,板につく,"to get used to, to become accustomed to"
itari,いたり,至り,"utmost limit, extremity, result"
itihi,いちひ,一飛,"first fly"
itiyouso,いちようそ,一要素,"one element, one factor"
itiwokaeru,いちをかえる,位置を変える,"to change the position of"
itiwonasu,いちをなす,市を成す,"to form a crowd, to have a crowd of people"
hitokuki,ひとくき,一茎,"one stem"
itomamonaku,いとまもなく,暇もなく,"without losing time (e.g. to do), without even time for (doing something)"
itowokumu,いとをくむ,糸を組む,"to braid string"
itowoharu,いとをはる,糸を張る,"to stretch a string"
inaosi,いなおし,鋳直し,"recasting"
inokoku,いのこく,亥の刻,"hour of the Boar (around 10pm, 9-11pm, or 10pm to 12 midnight)"
inotiwokakeru,いのちをかける,命を懸ける,"to put one's life on the line, to risk one's life, to put everything one has into it"
inotiwotamotu,いのちをたもつ,命を保つ,"to preserve life"
inorimotomeru,いのりもとめる,祈り求める,"to pray for"
imiwotoraeru,いみをとらえる,意味を捉える,"to grasp the meaning"
imiwotoru,いみをとる,意味を取る,"to follow the sense, to understand the meaning of"
imoutomusume,いもうとむすめ,妹娘,"younger daughter"
iyasikaranu,いやしからぬ,卑しからぬ,"respectable, decent"
iyasimi,いやしみ,卑しみ,"contempt"
irekawari,いれかわり,入れ替わり,"substitution, replacement, shifting, change"
irowousinau,いろをうしなう,色を失う,"to turn pale, to lose color, to lose colour"
irowotukeru,いろをつける,色を付ける,"to shade an account, to add something extra"
irowonuru,いろをぬる,色を塗る,"to daub, to paint"
iwoenai,いをえない,意を得ない,"beyond one's comprehension, beyond one's grasp"
iwokumu,いをくむ,意を酌む,"to enter into a person's feelings, to guess what somebody feels (using one's intuition)"
iwotateru,いをたてる,異を立てる,"to raise an objection, to voice an opinion different from those of others"
iwohuruu,いをふるう,威を振るう,"to exercise authority"
iwomukaeru,いをむかえる,意を迎える,"to cater to another's wish, to accommodate, to be agreeable"
ikataru,いカタル,胃カタル,"gastric catarrh"
ui,うい,有為,"perpetual change caused by karma, vicissitudes of life, that which is made"
uekaranomeirei,うえからのめいれい,上からの命令,"order from above"
uenoko,うえのこ,上の子,"the older child"
uenotii,うえのちい,上の地位,"higher position"
uewomuku,うえをむく,上を向く,"to look upward"
ukareotoko,うかれおとこ,浮かれ男,"playboy"
ukimewomiru,うきめをみる,憂き目を見る,"to have a hard time of it, to have a bitter experience"
usitora,うしとら,丑寅,"northeast"
usinokoku,うしのこく,丑の刻,"hour of the Ox (around 2am, 1-3am, or 2-4am)"
usironitaoreru,うしろにたおれる,後ろに倒れる,"to fall backward"
usuiita,うすいいた,薄い板,"sheet, thin plate"
usuiiro,うすいいろ,薄い色,"light color, light colour"
usumurasakiiro,うすむらさきいろ,薄紫色,"orchid, light purple"
usuyou,うすよう,薄様,"thin Japanese paper (esp. vellum paper), Japanese tissue"
usero,うせろ,失せろ,"beat it!, get lost!, get out of my sight!"
utaimono,うたいもの,謡物,"utai (noh chant) piece for recitation"
utaiwoutau,うたいをうたう,謡を謡う,"to recite an utai (noh chant)"
utanokokoro,うたのこころ,歌の心,"spirit of a poem, true meaning of a poem"
utanomiti,うたのみち,歌の道,"art of tanka poetry"
utikatayame,うちかたやめ,撃ち方やめ,"cease fire!"
utusikaeru,うつしかえる,移し変える,"to shift something to, to move something into, to transfer, to transplant"
umaninoru,うまにのる,馬に乗る,"to get on a horse, to mount a horse"
umarenoyoi,うまれのよい,生まれの良い,"of noble birth, wellborn"
sionitukeru,しおにつける,塩に漬ける,"to preserve in salt"
uyamai,うやまい,敬い,"reverence, respect, honor, honour, veneration, esteem"
urami,うらみ,浦回,"coastal indentations"
urawokaesu,うらをかえす,裏を返す,"to turn inside out, to turn the other way, to turn (something) over"
urawokaku,うらをかく,裏をかく,"to outwit, to outsmart, to counterplot, to defeat"
urika,ウリか,ウリ科,"Cucurbitaceae, gourd family"
urumi,うるみ,潤み,"blur, moisture, opacity"
ure,うれ,熟れ,"maturity, ripeness"
uwasawotaterareru,うわさをたてられる,噂を立てられる,"to be gossiped about"
ei,えい,穎,"awn, glume"
eisuukoku,えいすうこく,英数国,"English, Mathematics and Japanese"
eihai,えいはい,映配,"film distributing company"
eihei,えいへい,鋭兵,"picked troops"
eiraku,えいらく,栄落,"flourishing and declining"
ei,えい,鋭,"sharpness"
ekinitomaru,えきにとまる,駅に止まる,"to stop at a (train) station"
ekiwomiru,えきをみる,易を見る,"to divine"
etuwotamawaru,えつをたまわる,謁を賜わる,"to be granted an audience"
eriura,えりうら,衿裏,"lining of the collar"
oinonami,おいのなみ,老いの波,"wrinkles"
ooku,おおく,多く,"many, much, plenty, a lot"
oukoyori,おうこより,往古より,"from times immemorial, from ancient times"
